Timestep1and2,Slding speed,Depth polishing,Particle size,Composition,Temperature,PotEng,KinEng,Total energy,Press,Von Mises stress,v_hydro,Force_X,Force_Y,Force_Z,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
192600,100,20,15,21,276.59197,-1283109.3,10659.268,-1272450,-211.50282,0.6779894,4.7143092e-05,-168.35160000000002,5.77966304,66.7904544,CASE-10,1993.3046651854,48.9960711965339,30.8835971058557,10.1775677346748,152.806798071617,1674.83588430126,578.0,235508.0,5964.0
193200,100,20,15,21,276.72729,-1283165.6,10664.483,-1272501.1,-155.48243,0.7544135,4.645417e-05,-155.1908672,17.4445968,82.2882064,CASE-10,2215.39490669802,76.8604952947085,37.6234946241952,0.0,103.597598385224,1898.57091406601,603.0,235265.0,6073.0
193800,100,20,15,21,276.54993,-1283193.6,10657.647,-1272536,-297.13369,0.78265071,4.4198219e-05,-180.466048,-3.2468052800000002,100.65588000000001,CASE-10,2145.62408281837,44.8550606164814,39.8857612058389,0.0,123.599589520982,1844.0137066518,594.0,235077.0,6277.0
194400,100,20,15,21,276.46048,-1283116.9,10654.2,-1272462.7,-285.68149,0.83236394,4.4128039e-05,-141.591848,-6.23141936,73.5725216,CASE-10,2192.61477855315,73.9366737348719,45.575349765,0.0,108.169608009541,1790.13555424006,635.0,234971.0,6387.0
195000,100,20,15,21,276.3665,-1283155.4,10650.579,-1272504.8,-313.64404,0.80159,4.2228373e-05,-120.65476960000001,-18.91332,62.4264112,CASE-10,2193.91921807682,53.8577987929574,64.0294628194281,3.94808111439389,103.482036739242,1873.91537890022,597.0,234952.0,6384.0
195600,100,20,15,21,276.63911,-1283118.4,10661.084,-1272457.3,-302.81667,0.83909868,4.4047364e-05,-124.5276336,-26.4742576,75.84214080000001,CASE-10,2114.81046216536,56.2948396089031,48.3746108380509,0.0,138.349572993155,1745.11790678644,598.0,234975.0,6201.0
196200,100,20,15,21,276.3199,-1283156.0,10648.782,-1272507.2,-373.10199,0.85946972,3.9110964e-05,-164.69228800000002,-11.618705760000001,53.6632848,CASE-10,2076.72770361105,61.7938569940751,64.4111519412414,3.54091339696973,172.358363436076,1726.05364534666,642.0,234782.0,6251.0
196800,100,20,15,21,277.00624,-1283156.5,10675.233,-1272481.3,-407.76157,0.85786797,3.8776721e-05,-163.179552,0.28026544000000003,87.8174032,CASE-10,2079.24592404384,49.6456784282995,53.0041243571494,5.36611074805378,154.230685317128,1689.70656046357,665.0,234881.0,6337.0
197400,100,20,15,21,276.54729,-1283145.7,10657.546,-1272488.2,-285.24438,0.80485559,4.27256e-05,-172.366512,-15.49576208,98.256808,CASE-10,2227.49183636696,80.9048689779526,64.4293249258857,0.0,193.525223090863,1819.65468475026,617.0,234756.0,6252.0
198000,100,20,15,21,276.72568,-1283153.3,10664.421,-1272488.9,-233.34354,0.75822327,4.6938694e-05,-152.71608160000002,-3.93161376,85.38090720000001,CASE-10,2207.68809491091,33.8921105009167,57.7565158670884,22.0364549217975,160.997456417357,1869.25116689878,626.0,234873.0,6285.0
198600,100,20,15,21,276.83141,-1283116.0,10668.495,-1272447.5,-172.89093,0.75235099,4.9031099e-05,-147.3108432,9.546545440000001,76.8779376,CASE-10,2065.75893894768,39.8207192667087,39.1187687050321,0.0,168.011714047758,1745.41823369722,673.0,234737.0,6265.0
199200,100,20,15,21,276.89929,-1283169.7,10671.111,-1272498.6,-348.91748,0.71955164,4.2351945e-05,-146.1176448,-14.769229440000002,66.5775984,CASE-10,2037.6187956008,32.200077238662,32.9298973076256,18.7124353613897,145.430624543652,1685.43489222999,691.0,234605.0,6438.0
199800,100,20,15,21,276.69245,-1283142.7,10663.14,-1272479.5,-351.44155,0.77620281,3.9716099e-05,-168.458528,25.5448416,99.55908,CASE-10,1996.09173453104,34.7671231402164,47.9057598065576,20.2889225876992,207.022429294264,1605.13381290065,707.0,234310.0,6581.0
200400,100,20,15,21,277.15804,-1283195.4,10681.083,-1272514.3,-337.21845,0.73491135,4.0243482e-05,-138.2952912,-6.483087360000001,94.1804256,CASE-10,2025.1439106552,36.6542918062635,61.9193615302981,29.6600537338847,176.387809167446,1617.67019244628,702.0,234238.0,6659.0
201000,100,20,15,21,276.92474,-1283186.1,10672.092,-1272514,-275.53776,0.81946789,4.5073473e-05,-176.33448,-13.443582880000001,96.2344448,CASE-10,2140.09547829559,83.0625177969655,59.2475295366607,38.8261682573689,172.462645523762,1619.96568950814,729.0,233953.0,6778.0
201600,100,20,15,21,276.57692,-1283143.2,10658.688,-1272484.5,-306.33984,0.78492341,4.2547383e-05,-158.04056000000003,-5.71256176,87.46708960000001,CASE-10,2180.28701130087,50.6740270754702,64.2581197483179,34.6393175120625,190.60865634453,1747.40629844593,689.0,233537.0,6878.0
202200,100,20,15,21,277.13731,-1283199.6,10680.284,-1272519.4,22282.98549,0.81629804,4.3297383e-05,-168.762752,-21.9909136,92.0430176,CASE-10,2131.57648950449,33.9729278835204,21.0326790498807,48.1148001707735,178.985433730207,1666.41340956909,714.0,233572.0,6998.0
202800,100,20,15,21,277.2294,-1283177.3,10683.833,-1272493.5,-219.45267,0.77099238,4.6388611e-05,-157.1633776,-2.4860864,103.982528,CASE-10,1989.94774360636,70.309978611584,44.2110438110551,29.2801946414141,201.157297032918,1575.49562587041,606.0,233419.0,6984.0
203400,100,20,15,21,277.08541,-1283159.6,10678.284,-1272481.3,-265.61526,0.71346816,4.3320159e-05,-148.5944944,12.104713760000001,71.0304224,CASE-10,2005.87477431904,35.1326071942403,50.1299610043194,26.0480690062174,183.042947203896,1505.54404549495,635.0,233370.0,7011.0
204000,100,20,15,21,277.30888,-1283186.7,10686.896,-1272499.8,-407.56087,0.76052678,4.1404861e-05,-127.31752320000001,-0.0531098624,66.94816960000001,CASE-10,1923.97319663526,76.0496213074075,27.6919499916701,17.814416811351,182.917660492333,1529.16160783919,645.0,233485.0,6827.0
204600,100,20,15,21,277.14928,-1283180.2,10680.745,-1272499.4,-361.20931,0.72475312,4.2530508e-05,-153.09002080000002,15.3783064,93.7871856,CASE-10,1990.90008506025,28.6998834585284,56.9117724276501,12.7488628464987,186.366859897618,1611.16777048589,656.0,233607.0,6744.0
205200,100,20,15,21,277.16063,-1283144.0,10681.182,-1272462.8,-362.91157,0.70223754,4.1900417e-05,-153.4403632,-21.3496096,84.28891200000001,CASE-10,2026.78303016599,32.4542125898926,62.8262503907588,0.0,199.905667565351,1594.65938412172,671.0,233621.0,6770.0
205800,100,20,15,21,277.6131,-1283175.2,10698.62,-1272476.6,-311.19898,0.69966871,4.4371974e-05,-162.03889600000002,-36.6075984,81.199072,CASE-10,2126.80260804169,18.9214474461273,66.9288835557632,13.7321597859771,209.571457357529,1662.27468628917,603.0,233568.0,6798.0
206400,100,20,15,21,277.1218,-1283167.6,10679.686,-1272487.9,-310.81443,0.71988779,4.2781138e-05,-148.45543840000002,-20.2985952,76.23848960000001,CASE-10,2032.43559032332,55.3293097650815,68.2536617765953,9.5539297777137,165.396466682644,1640.09752006384,684.0,233596.0,6762.0
207000,100,20,15,21,277.19977,-1283163.0,10682.691,-1272480.3,-322.26434,0.75206964,4.3907341e-05,-137.4412768,-22.742678400000003,71.6485904,CASE-10,2045.71622149916,47.6515825617439,59.8344558075653,0.0,164.786748954253,1647.39289624428,660.0,233525.0,6802.0
207600,100,20,15,21,277.53358,-1283163.3,10695.555,-1272467.7,-431.67478,0.81280601,3.9241539e-05,-169.009424,4.54789536,97.1610432,CASE-10,2129.26026096914,58.2511280396451,77.0377265464832,0.0,158.654597330046,1680.11918384926,696.0,233161.0,6975.0
208200,100,20,15,21,277.2563,-1283156.4,10684.869,-1272471.5,-489.92779,0.84239322,3.6093253e-05,-178.655728,3.7081729600000006,104.16813760000001,CASE-10,2117.71002651441,35.3698275673778,45.7498478709188,0.0,202.965480734583,1676.2578652457,641.0,233063.0,6948.0
208800,100,20,15,21,277.25039,-1283139.7,10684.642,-1272455,-450.35768,0.85979867,3.8426341e-05,-173.20600000000002,-26.763550400000003,108.19959200000001,CASE-10,2079.33326519794,29.9537496273968,42.8171742717501,0.0,179.068306425632,1654.82895988104,619.0,233005.0,7052.0
209400,100,20,15,21,277.33966,-1283131.9,10688.082,-1272443.8,-360.28649,0.83828409,4.1126995e-05,-151.4939056,-26.097408,100.7640672,CASE-10,2062.56118211674,44.538422140927,55.3366868584669,7.51290457814585,146.76828118812,1678.47175929049,574.0,232947.0,7119.0
210000,100,20,15,21,277.15676,-1283174.3,10681.033,-1272493.3,-343.45457,0.82938602,4.4423006e-05,-135.1790096,-9.05075888,97.39522720000001,CASE-10,2057.53291640664,25.9122353699809,58.4826316159245,15.5845667641678,163.290463249718,1627.75722691832,613.0,232472.0,7372.0
210600,100,20,15,21,277.21428,-1283162.6,10683.25,-1272479.3,-278.69713,0.78142545,4.6453334e-05,-148.0926432,-38.985072,61.6133104,CASE-10,2060.31026878536,44.9332002689433,68.087626666754,3.33317642019454,176.711847435054,1619.15551556651,616.0,232470.0,7440.0
211200,100,20,15,21,277.09682,-1283137.3,10678.723,-1272458.5,-309.4664,0.78554214,4.4495132e-05,-143.28740000000002,-15.317920960000002,86.946672,CASE-10,1963.75468329811,18.3474685403295,62.4625939950309,2.31697507671962,181.031248255863,1614.69197374305,625.0,232427.0,7430.0
