Timestep1and2,Number of particle,Composition,Temperature,Strain rate input,Strain,Stress,Total energy,Von Mises stress,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
174000,55.0,31.0,301.94871,1000000000.0,0.348,2.7858197,-1241914.4,2.5401639,CASE11,10233.3201090657,129.968666872156,453.670459005633,77.5914186497418,933.419710184522,8177.48564956651,1960.0,211645.0,17315.0
174600,55.0,31.0,301.92676,1000000000.0,0.3492,2.8175382,-1241925.5,2.5644171,CASE11,10673.4657920601,168.987874810842,407.619218877374,64.5003971793051,1028.00579259733,8632.88385980859,2066.0,211983.0,17044.0
175200,55.0,31.0,301.35241,1000000000.0,0.3504,2.8553944,-1241888.9,2.5790613,CASE11,10332.3048445216,140.295330919753,359.35560545578,73.2361575752533,1055.19883584787,8247.61459145905,1976.0,211843.0,16855.0
175800,55.0,31.0,301.64943,1000000000.0,0.3516,2.8503805,-1241889.4,2.5887731,CASE11,10161.4589785301,176.705310033872,393.160357663761,80.797654258929,990.495137112982,8118.9792772072,2080.0,212248.0,16215.0
176400,55.0,31.0,301.60719,1000000000.0,0.3528,2.8470173,-1241918.6,2.5732039,CASE11,10761.2592952241,206.907540171213,352.663270995358,83.018180541527,1138.42198112791,8505.00199014755,2192.0,213063.0,14964.0
177000,55.0,31.0,301.01421,1000000000.0,0.354,2.8248584,-1241914.6,2.571087,CASE11,10726.055866235,194.164889435767,295.008253769562,110.286447435994,1125.15426956181,8568.61592456159,2031.0,213987.0,14133.0
177600,55.0,31.0,302.07291,1000000000.0,0.3552,2.8385101,-1241834.3,2.586473,CASE11,10551.3288959822,201.104915534444,317.658421147535,90.5073932292697,988.20344460651,8481.87676031979,2017.0,214633.0,13490.0
178200,55.0,31.0,302.51808,1000000000.0,0.3564,2.7616989,-1241911.4,2.6015403,CASE11,10302.4254076105,144.628887409053,269.028175567923,92.7082884090382,1144.36758728213,8290.38094702793,1998.0,215706.0,12551.0
178800,55.0,31.0,302.71323,1000000000.0,0.3576,2.7698416,-1241913,2.6124851,CASE11,9765.53830495449,265.179347212185,319.966527068069,102.750007010536,1030.39406168016,7711.43917561871,2065.0,216262.0,11779.0
179400,55.0,31.0,302.06994,1000000000.0,0.3588,2.7803415,-1241946,2.6226684,CASE11,9591.15899912699,243.449863185447,352.05872364009,136.926581990663,1018.14592449424,7502.59503425261,2019.0,216495.0,11613.0
180000,55.0,31.0,301.11598,1000000000.0,0.36,2.8397575,-1241917.3,2.6844331,CASE11,10020.6255396438,236.014753273607,331.417537754318,115.078718116371,1009.08296055456,7961.8883049919,2079.0,216328.0,11640.0
180600,55.0,31.0,301.79177,1000000000.0,0.3612,2.9196168,-1241891.4,2.7284124,CASE11,10307.1343047683,221.429316014693,287.718820644407,144.423241220977,1022.50678285695,8123.93371089491,2102.0,216484.0,11607.0
181200,55.0,31.0,302.48571,1000000000.0,0.3624,2.9584868,-1241863.7,2.7845106,CASE11,10011.2790511947,175.360244471523,331.077205407693,151.079692578867,1023.45348863934,7974.77637263691,2198.0,216201.0,11837.0
181800,55.0,31.0,301.60773,1000000000.0,0.3636,2.9973377,-1241834.7,2.804839,CASE11,10034.4333063693,191.528018548703,240.559646900833,110.319969957205,1124.97514389038,8102.84934080438,2273.0,215641.0,11885.0
182400,55.0,31.0,.64.21326,1000000000.0,0.3648,3.0609276,-1241798.1,2.8192802,CASE11,9730.56340372384,198.842661606248,202.224475425856,120.81281576897,1054.64546627993,7870.09414123119,2128.0,215803.0,12087.0
183000,55.0,31.0,301.31745,1000000000.0,0.366,3.0506108,-1241757.8,2.8452844,CASE11,9876.58191857742,184.602463401355,215.945396458568,160.372939231498,1100.99545425016,7867.7057856836,2204.0,215804.0,11862.0
183600,55.0,31.0,302.5826,1000000000.0,0.3672,3.0144966,-1241800.7,2.8479723,CASE11,10240.8802112122,189.375430780901,180.360043552977,114.625481028035,1104.17706469568,8365.22347453127,2211.0,215631.0,12224.0
184200,55.0,31.0,301.70151,1000000000.0,0.3684,3.0080063,-1241825.4,2.854555,CASE11,10096.5962581445,247.186948385493,223.496566539063,136.223091034359,1014.33377284472,8221.68068949307,2304.0,215648.0,12311.0
184800,55.0,31.0,302.23858,1000000000.0,0.3696,3.0262929,-1241816.4,2.8957412,CASE11,10197.3606962118,223.584246565728,226.458933398646,116.051813190157,1145.37586007535,8176.24628397601,2322.0,215716.0,11968.0
185400,55.0,31.0,301.9153,1000000000.0,0.3708,3.0587735,-1241865.4,2.9037347,CASE11,10581.4546219981,174.398320960655,261.512229774513,101.696116594551,1133.48968615364,8477.73726230327,2471.0,215350.0,12282.0
186000,55.0,31.0,302.16613,1000000000.0,0.372,3.0709849,-1241841.8,2.9116414,CASE11,10656.4909042413,265.115780816187,320.36469598768,103.533008488981,1069.56145451356,8492.4194213206,2436.0,214554.0,12755.0
186600,55.0,31.0,301.50191,1000000000.0,0.3732,3.09244,-1241839,2.9668769,CASE11,10513.6271160526,223.612107537586,285.104328475063,98.2504239561177,1160.63990335215,8461.02121736678,2496.0,214521.0,12841.0
187200,55.0,31.0,301.38578,1000000000.0,0.3744,3.0913087,-1241837.3,2.9818914,CASE11,11075.6775218899,260.050192462573,288.680370781766,140.900582036423,1204.60458386797,8831.73665424699,2548.0,213716.0,13572.0
187800,55.0,31.0,301.63416,1000000000.0,0.3756,3.0807798,-1241857.5,2.9551689,CASE11,11182.9215783079,258.790912493697,358.541845634572,127.938125216685,1190.86890535746,8810.51222329598,2704.0,213350.0,13663.0
