param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
300,6,0.5,0.6,-1655398.0815985128,2341086.598579826,115.04346466064453,78540.11588541667,273.78623295701453,116,3.3738041718800864,0.05082247374385641
600,4,0.5,0.6,-1658479.0947146814,2345443.7812909656,116.46100616455078,78549.86197916667,274.4136358430939,117,3.804420232772827,0.0031208447467880296
1000,4,0.5,0.6,-1666174.4436515719,2356326.615024566,118.17352803548177,80113.68880208333,277.37156118295303,118,6.2546736399332685,0.012566909940306232
600,8,0.6,0.6,-1668258.2746872578,2359273.6020109733,118.12567138671875,80620.80989583333,278.042583942582,119,9.38353705406189,0.1739498885954635
1000,8,0.6,0.6,-1669079.7959722206,2360435.363401721,120.1781234741211,82369.26171875,281.4519662326651,120,15.520714282989502,0.2672875556602042
300,8,0.5,0.6,-1696136.0833377093,2398698.8294539833,115.0035883585612,78665.71614583333,273.892595662363,121,5.714548905690511,0.17238268235627416
300,4,0.6,0.6,-1702789.249004446,2408107.828693769,115.20215352376302,78354.91536458333,273.55466665314475,122,1.916675329208374,0.0036740688127632195
300,4,0.5,0.6,-1723397.4171395227,2437252.176451091,115.14038594563802,78410.55598958333,273.67701521494706,123,1.9258562723795574,0.002438546690424274
300,6,0.6,0.6,-1755041.4167289287,2482003.5507091596,115.38171895345052,78545.68619791667,273.877794113273,124,2.9637068112691245,0.04884469351317513
300,4,0.5,0.6,-1760013.4170692712,2489035.0203006202,114.92994435628255,78295.1796875,273.4506150496072,125,1.9560998280843098,0.004814171715187119
300,8,0.6,0.6,-1762818.583843872,2493002.124969016,115.67166900634766,78725.25260416667,274.2433642319468,126,4.904494603474935,0.13937146656947008
600,6,0.6,0.5,-1882202.599686116,2661836.5856972076,117.05504099527995,79549.34244791667,276.2102745465708,127,6.1758168538411455,0.0956953777136714
1000,6,0.6,0.5,-1887603.4531331435,2669474.5032227947,119.2355728149414,81368.27083333333,279.85332883836446,128,11.036048650741577,0.5440990848042135
600,8,0.6,0.5,-1937810.6026359275,2740478.1713878186,117.53149159749348,80143.68359375,277.009826051831,129,9.794644514719645,0.18954927017178946
1000,8,0.6,0.5,-1939080.1193391383,2742273.5036942977,119.31912231445312,81453.12630208333,279.62763792981394,130,15.971994876861572,0.18984491719957985
300,6,0.6,0.5,-2024980.081403777,2863754.4755264977,114.85030110677083,78081.99088541667,273.11624659035994,131,3.130300203959147,0.05089158392520176
600,6,0.6,0.5,-2028209.7686875463,2868321.8993499493,117.81962076822917,80351.0546875,277.575574987164,132,6.354921261469523,0.5652475871560744
1000,6,0.6,0.5,-2033413.4583361372,2875680.9790733433,120.03580220540364,82369.73307291667,281.60420952898795,133,9.763367652893066,0.11369208802273961
600,4,0.6,0.5,-2043995.4270506054,2890646.2091125874,116.67983500162761,79230.64192708333,275.3487635895711,134,3.5975637435913086,0.016472215069262913
1000,4,0.6,0.5,-2044700.2766412299,2891642.982476159,118.36117045084636,80622.84765625,278.29963870922603,135,5.800515492757161,0.02231676226085437
600,8,0.5,0.5,-2055001.9391202256,2906211.7421523365,117.83154042561848,80413.25390625,277.431893453379,136,9.493941704432169,0.18173940988306234
