param_n_estimators,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,rank,mean_fit_time,std_fit_time
300,8,31,0.8,0.8,-0.06250883367371614,0.034239135401488124,127.17864826033274,115,2.4009221394856772,0.01770142065758518
500,-1,63,0.6,0.8,-0.06460130246963508,0.027992575288661774,127.84165242353004,117,8.208765824635824,0.207359418255432
500,-1,63,0.8,0.8,-0.06460130246963508,0.027992575288661774,127.84165242353004,117,8.237783034642538,0.18656247454128597
500,-1,63,0.8,0.6,-0.0664847251444496,0.024751156012818302,125.79937599424396,119,11.211760918299357,0.09651100422315609
500,-1,63,0.6,0.6,-0.0664847251444496,0.024751156012818302,125.79937599424396,119,11.210031032562256,0.1396633081718553
500,8,63,0.6,0.8,-0.06674931378975155,0.016504334614062005,125.1753965269449,121,5.367454210917155,0.11873243881841078
500,8,63,0.8,0.8,-0.06674931378975155,0.016504334614062005,125.1753965269449,121,5.344767332077026,0.12279045468270475
500,-1,63,0.8,0.6,-0.06741644500972323,0.02808225185797108,127.33563284931677,123,7.282742023468018,0.2803008463333737
500,-1,63,0.6,0.6,-0.06741644500972323,0.02808225185797108,127.33563284931677,123,7.083467562993367,0.14792110913554332
500,-1,31,0.8,0.6,-0.06834523351081606,0.029448316635628184,127.45284402132984,125,6.232320388158162,0.1254998923458015
500,-1,31,0.6,0.6,-0.06834523351081606,0.029448316635628184,127.45284402132984,125,6.237956364949544,0.09006795153853439
300,8,63,0.6,0.8,-0.06860562147439432,0.03872843249774205,127.93694845071859,127,2.422689437866211,0.037721123753064474
300,8,63,0.8,0.8,-0.06860562147439432,0.03872843249774205,127.93694845071859,127,2.4114251136779785,0.025388897446060075
300,-1,63,0.6,0.8,-0.06886553428545933,0.025535920453375483,126.56619155989686,129,7.8490095138549805,0.07317932419528787
300,-1,63,0.8,0.8,-0.06886553428545933,0.025535920453375483,126.56619155989686,129,7.820513566335042,0.06620953635471033
300,-1,63,0.8,0.6,-0.07010188676742884,0.030510142248429545,127.33310223809856,131,6.930102666219075,0.0631481307744753
300,-1,63,0.6,0.6,-0.07010188676742884,0.030510142248429545,127.33310223809856,131,6.808081309000651,0.08326584597703947
500,-1,31,0.6,0.8,-0.07243165898239136,0.02473614365673415,125.53388179373941,133,6.974521478017171,0.03999363301507257
500,-1,31,0.8,0.8,-0.07243165898239136,0.02473614365673415,125.53388179373941,133,6.982326666514079,0.04475735042662153
500,-1,31,0.8,0.8,-0.07527844744093609,0.026725606797314044,128.3141385267511,135,7.136970043182373,0.040654278670532215
500,-1,31,0.6,0.8,-0.07527844744093609,0.026725606797314044,128.3141385267511,135,7.177236874898274,0.05410851467910231
300,8,63,0.6,0.6,-0.07798702413899254,0.019796980398970678,126.89889003705481,137,2.789999564488729,0.04577697934145927
300,8,63,0.8,0.6,-0.07798702413899254,0.019796980398970678,126.89889003705481,137,2.8464180628458657,0.09893443512824027
300,8,31,0.6,0.6,-0.08061761834025559,0.022760397751414342,126.19314622844179,139,2.649940808614095,0.04742216482423467
300,8,31,0.8,0.6,-0.08061761834025559,0.022760397751414342,126.19314622844179,139,2.644237995147705,0.04402442739137306
300,-1,31,0.8,0.6,-0.08505569988965238,0.02795377520156002,126.72447556268901,141,3.5190459887186685,0.043982082029074075
300,-1,31,0.6,0.6,-0.08505569988965238,0.02795377520156002,126.72447556268901,141,3.5282973448435464,0.052685698628779205
500,-1,63,0.8,0.6,-0.08511724322509617,0.034474478515883,128.23235825389818,143,11.283288876215616,0.11236876265913981
