param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
1000,4,0.6,0.6,-9303.044449011484,6602.417966470284,637023.4166666666,634507996692480.0,19312800.8984265,53,8.182986974716187,0.07123733357742557
1000,6,0.5,0.5,-9422.414577012261,7059.221724246578,713117.2708333334,635021315189418.6,19320061.93356192,54,13.832118908564249,0.1576143090850849
600,4,0.5,0.6,-9570.98047979176,6808.487140386028,631114.9583333334,635709002088448.0,19386779.86326323,55,4.711560885111491,0.004913836168355014
600,4,0.8,0.8,-9588.036057059964,6822.697489743426,512409.5416666667,635751975529130.6,19391187.520514544,56,5.370785395304362,0.027778906243628988
1000,8,0.5,0.5,-9588.054164846739,7202.934559209875,722181.625,635757658811050.6,19364678.420044523,57,22.153704563776653,0.2437579905110387
600,6,0.8,0.8,-9898.82326336205,6999.685174741009,484045.4791666667,637130016904533.4,19479597.388409827,58,9.8517746925354,0.07097953989926646
600,8,0.8,0.8,-9905.439707453052,7009.106923197038,485086.9375,637157801372330.6,19481053.238877147,59,16.706897020339966,0.23187978613076585
1000,4,0.8,0.8,-10131.261865491668,7300.157030116616,556961.6666666666,638163089358848.0,19534205.866733145,60,8.940709988276163,0.0839564325077707
600,8,0.5,0.6,-10169.469581916928,7289.348354058274,663870.9791666666,638369882527061.4,19547145.95180088,61,13.930670658747355,0.1532250261196359
1000,6,0.6,0.6,-10170.08882999917,7239.215897359685,664815.5833333334,638368531961173.4,19550773.214620564,62,14.326776583989462,0.09433229026337643
600,6,0.5,0.6,-10217.631453062097,7293.2195121524865,664642.3541666666,638585617951402.6,19562139.531598043,63,8.489255984624227,0.0629277173346843
1000,8,0.6,0.6,-10836.255514080325,7667.559290290616,685926.4166666666,641328562743978.6,19730442.9592052,64,23.84641130765279,0.2390527570964993
