param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time,total_finetune_time_sec
2000,8,0.8,0.6,-0.033914090725627725,0.31405161206418913,42.543591817220054,7399.598307291667,85.76233418782552,31,32.76614387830099,0.43447387374580454,4718.324718475342
2000,8,0.6,0.6,-0.035324769475837466,0.313231517991105,42.80817540486654,7443.470703125,86.01098887125652,32,32.07996336619059,0.33048434824119277,4619.514724731445
4000,8,0.8,0.6,-0.04465300500858868,0.32236246988024125,42.49779510498047,7451.4970703125,86.0642318725586,33,65.05276433626811,0.9622655874259771,9367.598064422607
4000,6,0.6,0.8,-0.04812718868638178,0.29833224010640275,43.02327092488607,7509.236328125,86.44172668457031,34,67.36238121986389,1.2266159382901045,9700.1828956604
4000,8,0.6,0.6,-0.050381538889798794,0.3242509104806469,42.761285146077476,7516.882486979167,86.43824005126953,35,64.07653387387593,1.2116673398066249,9227.020877838135
4000,6,0.8,0.8,-0.050420957278965506,0.310499353868478,42.69503402709961,7433.479166666667,85.98129526774089,36,65.8278861840566,0.6152430820967997,9479.21561050415
2000,6,0.8,0.6,-0.05674029519507922,0.3261585004121857,43.60612106323242,7539.728841145833,86.55464172363281,37,21.229435920715332,0.163576154949254,3057.038772583008
2000,6,0.6,0.6,-0.06405980989953548,0.3300437745538231,44.19296518961588,7685.4619140625,87.39390563964844,38,21.194244066874187,0.4185594842810728,3051.971145629883
2000,8,0.8,0.8,-0.06578433108784988,0.340771140476946,42.78046544392904,7508.239583333333,86.39127604166667,39,40.2449783484141,1.2580470458428756,5795.276882171631
2000,8,0.6,0.8,-0.07005601129222307,0.3388046379491487,43.24318186442057,7542.813313802083,86.58353678385417,40,38.12935630480448,0.6037409837908809,5490.627307891846
4000,8,0.8,0.8,-0.07730237668547538,0.3499302663985248,42.747491200764976,7562.059895833333,86.70092010498047,41,78.59173615773518,0.2609721939120548,11317.210006713867
2000,6,0.8,0.8,-0.08150208466401483,0.34406566059623633,43.788995107014976,7632.93212890625,87.10674794514973,42,25.974548896153767,0.3771537629167568,3740.3350410461426
4000,8,0.6,0.8,-0.08642184860670032,0.35063065754932704,43.233595530192055,7620.75390625,87.03189595540364,43,76.47923183441162,0.7344831471896202,11013.009384155273
4000,6,0.8,0.6,-0.08782070711621226,0.34932276370825033,43.64193852742513,7698.481282552083,87.46024831136067,44,42.53737370173136,0.3049880779313138,6125.381813049316
2000,6,0.6,0.8,-0.08991506593822059,0.3454967862979897,44.264382680257164,7691.9462890625,87.42752838134766,45,25.064480940500896,0.4711883800347012,3609.285255432129
4000,6,0.6,0.6,-0.10424044821684975,0.36077931246809675,44.30355326334635,7894.03759765625,88.57571156819661,46,42.66565744082133,0.5668789405058761,6143.8546714782715
4000,6,0.8,0.8,-0.11575764724574211,0.37216040119371113,43.86911392211914,7805.9326171875,88.08220926920573,47,49.96454691886902,0.7068893836972471,7194.894756317139
4000,6,0.6,0.8,-0.1270648854628104,0.37432768595498067,44.33856201171875,7888.273600260417,88.53651682535808,48,50.39698553085327,0.5445880296750959,7257.165916442871
