Timestep1and2,Number of particle,Strain rate,Intensity,Composition,Temperature,Strain,Stress,v_p1,v_p2,v_p3,v_p4,Total energy,Press,Von Mises stress,v_hydro,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
99000,55,1000000000,4350000000,21,300.77918,0.0198,0.76500464,0.0198,0.76500464,0.0059631133,0.39440483,-1295599.3,-3884.5753,1.4799376,-3.3403447e-05,CS6,1935.20713971651,10.6890137936421,17.0837533239892,0.0,186.177933689632,1693.54355924467,1168.0,167035.0,2242.0
99600,55,1000000000,4350000000,21,300.95913,0.01992,0.76429373,0.01992,0.76429373,0.0072731413,0.39141144,-1295851.5,-3876.5944,1.4768806,-3.3029746e-05,CS6,2070.04046711921,13.4165814585317,10.0971490539787,0.0,195.561760207216,1827.96656265035,1142.0,166862.0,2350.0
100200,55,1000000000,4350000000,21,301.29551,0.02004,0.76590924,0.02004,0.76590924,-0.0011142024,0.39885863,-1295868.6,-3878.8456,1.4969142,-3.3134144e-05,CS6,1753.66353353851,21.2949271536749,19.6889077230369,0.0,145.862816943126,1554.6077036663,1176.0,166823.0,2185.0
100800,55,1000000000,4350000000,21,300.84258,0.02016,0.76663757,0.02016,0.76663757,-0.0053564565,0.38715408,-1295994.8,-3828.1173,1.50443,-3.1106316e-05,CS6,1777.05067417896,19.0167590495888,15.2899899650565,0.0,169.030502106971,1550.02853319235,1166.0,167234.0,2216.0
101400,55,1000000000,4350000000,21,299.9586,0.02028,0.76162728,0.02028,0.76162728,-0.017665581,0.39053906,-1295985.7,-3781.6692,1.5232732,-2.9559877e-05,CS6,1991.31222328577,47.5920169257742,14.0441814334959,0.0,227.397266000956,1688.32179430857,1228.0,166995.0,2245.0
102000,55,1000000000,4350000000,21,300.88916,0.0204,0.76202272,0.0204,0.76202272,-0.0051615051,0.39999256,-1295755.6,-3856.1792,1.4918066,-3.163938e-05,CS6,1944.14510670189,54.0646557589758,19.4111188338719,0.0,197.403139655595,1649.7820610851,1235.0,166984.0,2274.0
102600,55,1000000000,4350000000,21,301.42855,0.02052,0.77388289,0.02052,0.77388289,-0.008916928,0.40390507,-1296023.9,-3896.2368,1.5226068,-3.2404822e-05,CS6,1939.01247173385,40.6095627911258,9.86797595920744,0.0,225.999117860007,1644.79903621015,1245.0,167049.0,2260.0
103200,55,1000000000,4350000000,21,300.90594,0.02064,0.79238875,0.02064,0.79238875,0.0048269868,0.40318159,-1295962.3,-4001.3245,1.530238,-3.5006414e-05,CS6,1895.82109824315,15.0502273166069,0.0,0.0,186.434190585143,1678.75326328366,1246.0,166781.0,2200.0
103800,55,1000000000,4350000000,21,300.73203,0.02076,0.78902137,0.02076,0.78902137,-0.0027770807,0.39718939,-1296079.2,-3944.7789,1.5370944,-3.3475188e-05,CS6,1846.50675872045,11.657105506182,10.2981278103781,0.0,188.155121059811,1614.5549420774,1195.0,166957.0,2147.0
104400,55,1000000000,4350000000,21,300.0525,0.02088,0.79062074,0.02088,0.79062074,-0.0074232967,0.39916993,-1296163.7,-3941.2246,1.5475332,-3.3397448e-05,CS6,1853.29825667128,15.6017438027522,0.0,0.0,208.868088016231,1597.39286342962,1204.0,166767.0,2173.0
105000,55,1000000000,4350000000,21,301.08906,0.021,0.79002652,0.021,0.79002652,-0.0051869881,0.3998622,-1295936.9,-3949.0058,1.5385522,-3.3629162e-05,CS6,1857.07458664055,24.4830432922794,9.07965182210493,0.0,162.769893352403,1646.93737278824,1215.0,166875.0,2225.0
105600,55,1000000000,4350000000,21,300.72924,0.02112,0.80031762,0.02112,0.80031762,-0.0032487529,0.39795952,-1296189.0,-3983.428,1.5558202,-3.445715e-05,CS6,1860.49193848877,14.2518637174869,12.1855872753043,0.0,181.95568361055,1652.09880388543,1240.0,166938.0,2265.0
106200,55,1000000000,4350000000,21,301.32201,0.02124,0.81875726,0.02124,0.81875726,-0.0007032329,0.41487301,-1296176.8,-4109.7568,1.585677,-3.6959231e-05,CS6,1722.18672833257,15.2977847773668,0.0,0.0,142.186713460564,1538.16645467349,1238.0,166853.0,2191.0
106800,55,1000000000,4350000000,21,301.41946,0.02136,0.82808787,0.02136,0.82808787,0.0078723036,0.41739205,-1296264.8,-4177.8408,1.5816864,-3.8078703e-05,CS6,1808.22043954538,31.2320215291217,23.7728927120239,0.0,173.699063156707,1550.23662166703,1268.0,166793.0,2252.0
107400,55,1000000000,4350000000,21,300.8535,0.02148,0.83628989,0.02148,0.83628989,0.010579738,0.42643475,-1296283.5,-4244.3479,1.5911387,-3.9770204e-05,CS6,1813.85026927753,17.5028867699214,7.33073510283088,0.0,166.163067968572,1605.41786072981,1232.0,166590.0,2216.0
108000,55,1000000000,4350000000,21,300.55555,0.0216,0.80699685,0.0216,0.80699685,-0.019626805,0.41023644,-1295795.6,-3992.0216,1.5889686,-3.3099107e-05,CS6,1951.57674421471,18.4849724637888,16.4005575265253,0.0,159.741787364735,1737.58627161515,1266.0,166461.0,2269.0
108600,55,1000000000,4350000000,21,301.18889,0.02172,0.82217137,0.02172,0.82217137,0.002110199,0.43214979,-1296242.4,-4188.1045,1.5689421,-3.8343882e-05,CS6,1911.98166919548,44.6841091517119,0.0,0.0,207.838174853817,1639.44316269324,1177.0,166861.0,2249.0
109200,55,1000000000,4350000000,21,300.88844,0.02184,0.82988636,0.02184,0.82988636,0.0012786071,0.42281293,-1296263.2,-4179.9263,1.5867624,-3.7482827e-05,CS6,1872.54706094911,22.577663437282,14.7038947497165,0.0,149.046993689215,1661.26506679693,1261.0,166617.0,2290.0
